,is_paid,price,num_subscribers,level,content_duration,subject
414,True,45,12,Intermediate Level,0.7166666666666667,Business Finance
415,True,200,1,Intermediate Level,0.5666666666666667,Business Finance
416,True,50,29,Intermediate Level,2.0,Business Finance
417,True,40,17,All Levels,3.5,Business Finance
418,True,25,132,All Levels,1.5,Business Finance
419,True,20,126,All Levels,1.0,Business Finance
420,True,60,32,All Levels,1.5,Business Finance
421,True,20,480,All Levels,1.0,Business Finance
422,True,20,27,Beginner Level,1.5,Business Finance
423,True,20,167,Beginner Level,1.5,Business Finance
424,True,20,131,All Levels,1.5,Business Finance
425,False,0,927,Beginner Level,1.0,Business Finance
426,True,20,37,All Levels,2.5,Business Finance
427,True,40,19,Beginner Level,2.0,Business Finance
428,True,30,43,All Levels,1.5,Business Finance
429,True,30,751,Beginner Level,3.0,Business Finance
430,True,35,49,All Levels,2.0,Business Finance
431,True,20,45,Beginner Level,1.0,Business Finance
432,False,0,1685,Beginner Level,2.0,Business Finance
433,False,0,4269,All Levels,4.5,Business Finance
434,True,30,124,All Levels,1.0,Business Finance
435,True,200,811,All Levels,1.5,Business Finance
436,True,50,956,All Levels,5.5,Business Finance
437,True,190,126,Intermediate Level,12.5,Business Finance
438,True,95,26,Beginner Level,1.0,Business Finance
439,True,35,91,All Levels,2.0,Business Finance
440,True,30,30,All Levels,1.0,Business Finance
441,True,195,226,All Levels,3.5,Business Finance
442,True,60,52,Intermediate Level,1.0,Business Finance
443,True,195,89,All Levels,12.5,Business Finance
444,True,200,267,All Levels,2.0,Business Finance
445,False,0,4770,Beginner Level,6.5,Business Finance
446,True,20,265,All Levels,1.0,Business Finance
447,True,20,2046,Beginner Level,5.5,Business Finance
448,True,20,605,All Levels,0.3166666666666666,Business Finance
449,True,50,472,All Levels,5.5,Business Finance
450,True,50,388,All Levels,11.5,Business Finance
451,True,80,98,Intermediate Level,8.0,Business Finance
452,True,25,1888,Intermediate Level,1.0,Business Finance
453,True,20,0,All Levels,0.6166666666666667,Business Finance
454,True,20,0,Beginner Level,1.5,Business Finance
455,True,20,0,Beginner Level,2.5,Business Finance
456,True,50,0,Beginner Level,2.0,Business Finance
457,True,50,0,Intermediate Level,2.0,Business Finance
458,True,50,0,Intermediate Level,2.0,Business Finance
459,True,20,0,Beginner Level,3.5,Business Finance
460,True,50,0,Intermediate Level,2.0,Business Finance
461,True,95,0,Intermediate Level,1.0,Business Finance
462,True,100,0,All Levels,1.0,Business Finance
463,True,40,0,All Levels,5.5,Business Finance
464,True,40,0,Beginner Level,2.0,Business Finance
465,True,50,495,All Levels,4.0,Business Finance
466,True,55,375,Intermediate Level,1.0,Business Finance
467,False,0,1730,All Levels,0.6666666666666666,Business Finance
468,True,20,283,All Levels,2.5,Business Finance
469,True,95,136,All Levels,4.5,Business Finance
470,True,200,23,All Levels,3.0,Business Finance
471,True,55,683,All Levels,4.5,Business Finance
472,True,50,618,All Levels,2.0,Business Finance
473,True,25,188,Beginner Level,1.5,Business Finance
474,True,20,911,All Levels,1.5,Business Finance
475,True,20,512,All Levels,0.6666666666666666,Business Finance
476,True,50,769,All Levels,2.0,Business Finance
477,True,95,302,All Levels,2.0,Business Finance
478,True,40,149,Intermediate Level,6.5,Business Finance
479,True,55,72,All Levels,3.5,Business Finance
480,True,50,33,Intermediate Level,1.0,Business Finance
481,True,50,13,All Levels,2.0,Business Finance
482,True,20,79,All Levels,6.0,Business Finance
483,True,20,139,All Levels,1.5,Business Finance
484,False,0,2247,All Levels,4.0,Business Finance
485,True,125,17,All Levels,1.5,Business Finance
486,True,50,45,All Levels,8.0,Business Finance
487,True,50,33,Beginner Level,4.5,Business Finance
488,True,120,54,All Levels,0.6,Business Finance
489,True,200,1498,Beginner Level,2.0,Business Finance
490,True,20,2317,All Levels,2.0,Business Finance
491,False,0,5077,Beginner Level,1.5,Business Finance
492,False,0,65576,All Levels,8.0,Business Finance
493,True,95,1202,Expert Level,3.5,Business Finance
494,False,0,22344,Beginner Level,3.5,Business Finance
495,True,20,2189,All Levels,1.5,Business Finance
496,True,165,431,All Levels,2.5,Business Finance
497,True,200,1199,All Levels,18.0,Business Finance
498,True,25,5685,All Levels,3.5,Business Finance
499,True,195,1512,All Levels,1.5,Business Finance
500,True,200,1806,Beginner Level,19.5,Business Finance
501,True,20,668,All Levels,0.5666666666666667,Business Finance
502,False,0,3757,All Levels,0.6166666666666667,Business Finance
503,True,20,828,All Levels,1.0,Business Finance
504,True,40,111,All Levels,1.0,Business Finance
505,True,95,39,Beginner Level,1.0,Business Finance
506,True,195,613,All Levels,24.5,Business Finance
507,True,95,57,All Levels,1.5,Business Finance
508,True,20,246,Beginner Level,1.5,Business Finance
509,True,35,83,All Levels,1.0,Business Finance
510,True,195,62,Beginner Level,6.5,Business Finance
511,True,200,31,All Levels,5.5,Business Finance
512,True,105,367,All Levels,7.5,Business Finance
513,True,20,3,All Levels,1.5,Business Finance
514,True,30,3,Intermediate Level,1.5,Business Finance
515,True,20,2,All Levels,1.0,Business Finance
516,True,20,3,All Levels,0.5666666666666667,Business Finance
517,True,20,1,All Levels,2.0,Business Finance
518,True,30,1,All Levels,2.5,Business Finance
519,True,20,2,Beginner Level,2.5,Business Finance
520,True,20,1,Beginner Level,1.0,Business Finance
521,True,40,2,Beginner Level,1.0,Business Finance
522,True,105,1,All Levels,1.5,Business Finance
523,True,20,1,All Levels,0.5666666666666667,Business Finance
524,True,100,0,All Levels,0.7166666666666667,Business Finance
525,True,20,731,All Levels,1.0,Business Finance
526,True,200,66,All Levels,2.0,Business Finance
527,True,95,51,All Levels,0.5333333333333333,Business Finance
528,True,180,507,All Levels,33.0,Business Finance
529,True,100,9,Intermediate Level,3.0,Business Finance
530,True,150,375,All Levels,24.5,Business Finance
531,True,50,80,Beginner Level,7.5,Business Finance
532,True,200,152,All Levels,3.0,Business Finance
533,True,60,37,Intermediate Level,1.0,Business Finance
534,True,20,194,Intermediate Level,3.5,Business Finance
535,True,25,1184,Intermediate Level,1.5,Business Finance
536,True,95,638,All Levels,5.0,Business Finance
537,True,20,64,Beginner Level,1.0,Business Finance
538,True,200,44,Beginner Level,0.5333333333333333,Business Finance
539,True,50,814,All Levels,1.0,Business Finance
540,True,50,211,Intermediate Level,5.0,Business Finance
541,True,20,768,All Levels,10.5,Business Finance
542,True,20,29,All Levels,2.0,Business Finance
543,True,50,156,All Levels,7.0,Business Finance
544,False,0,2144,Beginner Level,1.0,Business Finance
545,True,50,376,All Levels,3.5,Business Finance
546,True,75,214,All Levels,9.0,Business Finance
547,True,50,406,All Levels,2.5,Business Finance
548,True,50,394,All Levels,3.0,Business Finance
549,True,75,438,All Levels,1.5,Business Finance
550,True,20,56,Beginner Level,2.0,Business Finance
551,True,195,58,All Levels,1.0,Business Finance
552,True,50,1047,All Levels,4.5,Business Finance
553,True,55,166,All Levels,1.5,Business Finance
554,True,20,605,All Levels,1.0,Business Finance
555,True,50,38,Intermediate Level,2.5,Business Finance
556,True,100,46,Intermediate Level,2.5,Business Finance
557,True,40,217,Intermediate Level,1.5,Business Finance
558,True,40,78,All Levels,2.5,Business Finance
559,True,30,35,Beginner Level,1.5,Business Finance
560,True,50,80,All Levels,2.5,Business Finance
561,True,190,1941,All Levels,71.5,Business Finance
562,True,195,1367,All Levels,7.0,Business Finance
