,n_enrolled,Level,subject,language,subtitles,price
504,,Introductory,Humanities,English,English,50.0
505,10118.0,Advanced,Business & Management,English,English,214.0
506,7544.0,Introductory,Design,English,English,99.0
507,11741.0,Introductory,Social Sciences,Español,Español,59.0
508,11426.0,Intermediate,Social Sciences,English,"English, Русский",49.0
509,28404.0,Introductory,Business & Management,English,English,50.0
510,47792.0,Introductory,Economics & Finance,Español,Español,25.0
511,16853.0,Introductory,Business & Management,Español,Español,149.0
512,,Introductory,Math,English,English,79.0
513,35367.0,Intermediate,Biology & Life Sciences,English,English,49.0
514,7301.0,Introductory,Computer Science,English,English,299.0
515,7419.0,Introductory,Environmental Studies,English,English,179.0
516,36289.0,Advanced,Business & Management,English,,249.0
517,42381.0,Intermediate,Computer Science,English,English,99.0
518,22246.0,Introductory,Business & Management,English,English,49.0
519,7056.0,Introductory,Computer Science,Español,Español,49.0
520,9274.0,Intermediate,History,English,English,50.0
521,14629.0,Intermediate,Business & Management,English,English,299.0
522,,Intermediate,Business & Management,English,English,149.0
523,10961.0,Introductory,Music,Español,Español,49.0
524,18368.0,Intermediate,Computer Science,Español,"English, Español",49.0
525,7017.0,Introductory,Communication,Español,Español,49.0
526,14052.0,Intermediate,Business & Management,English,English,199.0
527,6426.0,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",149.0
528,27338.0,Introductory,Social Sciences,English,English,49.0
529,87539.0,Intermediate,Business & Management,English,English,79.0
530,30731.0,Introductory,Philosophy & Ethics,中文,English,139.0
531,9347.0,Intermediate,Electronics,English,"English, 中文",169.0
532,6166.0,Intermediate,Medicine,English,English,49.0
533,6273.0,Introductory,Business & Management,Français,Français,149.0
534,8032.0,Intermediate,Architecture,English,English,50.0
535,12667.0,Advanced,Engineering,English,English,199.0
536,23335.0,Advanced,Law,English,English,150.0
537,36827.0,Advanced,Computer Science,English,English,249.0
538,28580.0,Introductory,Humanities,English,English,49.0
539,30030.0,Intermediate,Business & Management,Français,Français,150.0
540,38041.0,Advanced,Engineering,English,English,250.0
541,52667.0,Introductory,Data Analysis & Statistics,English,English,49.0
542,9114.0,Introductory,History,English,English,49.0
543,6388.0,Introductory,Computer Science,English,English,399.0
544,,Introductory,Computer Science,Español,Español,49.0
545,16013.0,Intermediate,Business & Management,English,English,125.0
546,21296.0,Intermediate,Education & Teacher Training,English,English,299.0
547,,Intermediate,Computer Science,English,English,149.0
548,6746.0,Intermediate,Math,English,English,159.0
549,,Intermediate,Medicine,Español,Español,49.0
550,20052.0,Intermediate,Physics,English,English,79.0
551,10856.0,Introductory,Music,Español,Español,49.0
552,,Intermediate,Business & Management,English,English,149.0
553,,Advanced,Computer Science,English,English,129.0
554,,Introductory,Data Analysis & Statistics,Español,Español,49.0
555,8118.0,Intermediate,Data Analysis & Statistics,Español,Español,49.0
556,6169.0,Intermediate,Law,English,English,25.0
557,18690.0,Introductory,Computer Science,English,English,49.0
558,8250.0,Introductory,Education & Teacher Training,Español,Español,25.0
559,11275.0,Introductory,Business & Management,English,English,49.0
560,24667.0,Advanced,Language,Italiano,Italiano,49.0
561,,Introductory,Business & Management,English,English,149.0
562,11812.0,Introductory,Science,English,English,49.0
563,61824.0,Introductory,Math,English,English,50.0
564,43125.0,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",5.0
565,5367.0,Introductory,Medicine,English,English,149.0
